"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","21,750.0","21,800.0","21,820.0","21,400.0","165.70K","-0.23%"
"03/14/2024","21,800.0","21,880.0","21,960.0","21,650.0","176.00K","-0.37%"
"03/13/2024","21,880.0","21,400.0","21,920.0","21,400.0","208.30K","2.24%"
"03/12/2024","21,400.0","21,550.0","21,550.0","21,250.0","265.00K","-0.70%"
"03/11/2024","21,550.0","21,690.0","21,690.0","20,180.0","1.14M","-0.65%"
"03/08/2024","21,690.0","22,030.0","22,080.0","21,640.0","650.10K","-1.32%"
"03/07/2024","21,980.0","21,940.0","22,050.0","21,880.0","186.50K","0.23%"
"03/06/2024","21,930.0","22,010.0","22,190.0","21,930.0","110.00K","-0.36%"
"03/05/2024","22,010.0","21,940.0","22,020.0","21,830.0","284.90K","0.32%"
"03/04/2024","21,940.0","21,870.0","21,980.0","21,810.0","313.70K","0.32%"
"03/01/2024","21,870.0","21,900.0","21,900.0","21,740.0","198.80K","0.09%"
"02/29/2024","21,850.0","21,790.0","22,000.0","21,700.0","1.32M","0.41%"
"02/28/2024","21,760.0","21,510.0","21,760.0","21,510.0","1.02M","1.16%"
"02/27/2024","21,510.0","21,300.0","21,510.0","21,300.0","808.10K","1.03%"
"02/26/2024","21,290.0","21,150.0","21,290.0","21,070.0","244.80K","0.85%"
"02/23/2024","21,110.0","21,430.0","21,640.0","21,110.0","982.40K","-1.45%"
"02/22/2024","21,420.0","21,480.0","21,480.0","21,330.0","234.70K","-0.23%"
"02/21/2024","21,470.0","21,430.0","21,500.0","21,300.0","482.30K","0.14%"
"02/20/2024","21,440.0","21,390.0","21,440.0","21,280.0","343.70K","0.33%"
"02/19/2024","21,370.0","21,100.0","21,370.0","21,100.0","856.40K","1.28%"
"02/16/2024","21,100.0","20,980.0","21,130.0","20,980.0","743.10K","0.62%"
"02/15/2024","20,970.0","20,950.0","21,130.0","20,950.0","697.10K","0.10%"
"02/07/2024","20,950.0","20,700.0","20,950.0","20,690.0","203.20K","1.35%"
"02/06/2024","20,670.0","20,670.0","20,780.0","20,670.0","106.20K","0.00%"
"02/05/2024","20,670.0","20,230.0","20,740.0","20,230.0","2.10M","2.17%"
"02/02/2024","20,230.0","20,310.0","20,340.0","20,200.0","1.96M","-0.30%"
"02/01/2024","20,290.0","20,110.0","20,290.0","20,100.0","1.34M","0.50%"
"01/31/2024","20,190.0","20,390.0","20,420.0","20,110.0","308.60K","-0.98%"
"01/30/2024","20,390.0","20,350.0","20,410.0","20,340.0","224.10K","0.15%"
"01/29/2024","20,360.0","20,400.0","20,470.0","20,180.0","130.60K","-0.20%"
"01/26/2024","20,400.0","20,300.0","20,460.0","20,300.0","47.50K","0.49%"
"01/25/2024","20,300.0","20,360.0","20,390.0","20,290.0","304.70K","-0.29%"
"01/24/2024","20,360.0","20,440.0","20,490.0","20,350.0","136.60K","-0.39%"
"01/23/2024","20,440.0","20,520.0","20,560.0","20,400.0","89.40K","-0.39%"
"01/22/2024","20,520.0","20,410.0","20,600.0","20,400.0","699.10K","0.74%"
"01/19/2024","20,370.0","20,380.0","20,450.0","20,330.0","143.20K","0.69%"
"01/18/2024","20,230.0","20,120.0","20,240.0","20,120.0","144.10K","0.55%"
"01/17/2024","20,120.0","20,070.0","20,320.0","20,070.0","91.10K","-0.25%"
"01/16/2024","20,170.0","20,050.0","20,170.0","19,950.0","462.60K","0.50%"
"01/15/2024","20,070.0","20,110.0","20,300.0","20,050.0","153.40K","-0.15%"
"01/12/2024","20,100.0","19,990.0","20,140.0","19,850.0","188.30K","0.25%"
"01/11/2024","20,050.0","20,140.0","21,000.0","20,020.0","720.40K","0.05%"
"01/10/2024","20,040.0","20,040.0","20,160.0","19,990.0","191.90K","0.00%"
"01/09/2024","20,040.0","19,860.0","20,100.0","19,860.0","54.30K","-0.20%"
"01/08/2024","20,080.0","20,050.0","20,190.0","19,900.0","840.30K","0.25%"
"01/05/2024","20,030.0","20,000.0","20,030.0","19,900.0","324.00K","0.40%"
"01/04/2024","19,950.0","19,690.0","20,130.0","19,690.0","723.90K","1.32%"
"01/03/2024","19,690.0","19,380.0","19,690.0","19,380.0","455.00K","0.82%"
"01/02/2024","19,530.0","19,510.0","19,680.0","19,500.0","568.30K","0.51%"
"12/29/2023","19,430.0","19,440.0","19,630.0","19,430.0","2.27M","0.00%"
"12/28/2023","19,430.0","19,160.0","19,530.0","19,160.0","370.40K","0.83%"
"12/27/2023","19,270.0","19,250.0","19,350.0","19,240.0","217.90K","0.16%"
"12/26/2023","19,240.0","19,200.0","19,260.0","19,160.0","146.20K","0.21%"
"12/25/2023","19,200.0","18,950.0","19,200.0","18,950.0","642.60K","1.32%"
"12/22/2023","18,950.0","19,000.0","19,000.0","18,850.0","239.10K","0.00%"
"12/21/2023","18,950.0","18,930.0","18,950.0","18,800.0","1.12M","0.16%"
"12/20/2023","18,920.0","18,990.0","18,990.0","18,790.0","204.90K","0.42%"
"12/19/2023","18,840.0","18,770.0","18,840.0","18,570.0","366.30K","0.37%"
"12/18/2023","18,770.0","19,040.0","19,040.0","18,730.0","611.30K","-1.21%"
"12/15/2023","19,000.0","19,030.0","19,090.0","18,960.0","186.90K","-0.42%"
"12/14/2023","19,080.0","19,260.0","19,260.0","19,050.0","77.30K","-0.10%"
