"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","7,570.0","7,880.0","7,880.0","7,570.0","0.40K","-4.06%"
"03/14/2024","7,890.0","7,890.0","7,890.0","7,890.0","0.10K","-0.13%"
"03/13/2024","7,900.0","7,930.0","8,040.0","7,610.0","3.40K","1.41%"
"03/12/2024","7,790.0","7,800.0","7,800.0","7,600.0","3.80K","-0.13%"
"03/11/2024","7,800.0","7,850.0","7,850.0","7,800.0","0.40K","-0.13%"
"03/08/2024","7,810.0","8,000.0","8,000.0","7,550.0","0.70K","-2.38%"
"03/07/2024","8,000.0","7,780.0","8,120.0","7,750.0","4.50K","1.91%"
"03/06/2024","7,850.0","7,850.0","7,900.0","7,800.0","3.30K","0.00%"
"03/05/2024","7,850.0","7,960.0","7,960.0","7,810.0","4.70K","-0.88%"
"03/04/2024","7,920.0","7,960.0","7,960.0","7,820.0","2.30K","-1.00%"
"03/01/2024","8,000.0","8,000.0","8,000.0","8,000.0","0.50K","-0.87%"
"02/29/2024","8,070.0","7,780.0","8,080.0","7,780.0","1.60K","-0.25%"
"02/28/2024","8,090.0","8,090.0","8,090.0","8,090.0","0.10K","0.00%"
"02/27/2024","8,090.0","8,130.0","8,130.0","8,000.0","2.20K","0.50%"
"02/26/2024","8,050.0","7,830.0","8,150.0","7,820.0","0.70K","2.94%"
"02/23/2024","7,820.0","7,820.0","7,820.0","7,820.0","1.10K","1.43%"
"02/22/2024","7,710.0","8,250.0","8,250.0","7,710.0","0.40K","-2.90%"
"02/21/2024","7,940.0","8,100.0","8,130.0","7,940.0","1.20K","1.15%"
"02/20/2024","7,850.0","8,090.0","8,090.0","7,850.0","0.20K","-2.97%"
"02/19/2024","8,090.0","8,200.0","8,200.0","7,720.0","0.70K","-1.46%"
"02/16/2024","8,210.0","7,720.0","8,210.0","7,720.0","1.50K","-0.24%"
"02/15/2024","8,230.0","7,920.0","8,270.0","7,610.0","5.70K","4.44%"
"02/07/2024","7,880.0","7,860.0","7,880.0","7,860.0","1.30K","-4.95%"
"02/06/2024","8,290.0","8,270.0","8,290.0","8,270.0","1.40K","0.24%"
"02/05/2024","8,270.0","8,300.0","8,300.0","8,270.0","0.60K","-0.36%"
"02/02/2024","8,300.0","8,080.0","8,300.0","8,080.0","2.50K","2.60%"
"02/01/2024","8,090.0","7,760.0","8,090.0","7,760.0","2.40K","0.50%"
"01/31/2024","8,050.0","8,050.0","8,050.0","8,050.0","0.30K","-0.37%"
"01/30/2024","8,080.0","8,080.0","8,080.0","8,080.0","0.30K","-0.25%"
"01/29/2024","8,100.0","8,140.0","8,140.0","8,100.0","0.30K","-0.49%"
"01/26/2024","8,140.0","8,140.0","8,140.0","8,140.0","0.10K","0.00%"
"01/24/2024","8,140.0","8,140.0","8,140.0","8,140.0","0.10K","-0.25%"
"01/23/2024","8,160.0","7,700.0","8,160.0","7,690.0","0.60K","5.97%"
"01/22/2024","7,700.0","7,880.0","7,880.0","7,500.0","0.40K","-2.28%"
"01/19/2024","7,880.0","7,880.0","7,880.0","7,880.0","0.40K","0.00%"
"01/18/2024","7,880.0","7,880.0","7,880.0","7,880.0","0.10K","0.13%"
"01/17/2024","7,870.0","7,870.0","7,870.0","7,870.0","3.00K","-0.88%"
"01/16/2024","7,940.0","8,220.0","8,220.0","7,940.0","1.00K","-3.52%"
"01/12/2024","8,230.0","8,290.0","8,290.0","8,230.0","0.20K","-1.56%"
"01/11/2024","8,360.0","8,360.0","8,360.0","8,360.0","1.00K","-0.24%"
"01/10/2024","8,380.0","7,860.0","8,380.0","7,860.0","11.80K","-0.83%"
"01/08/2024","8,450.0","8,450.0","8,450.0","8,450.0","0.10K","0.60%"
"01/05/2024","8,400.0","8,400.0","8,400.0","8,400.0","0.10K","2.44%"
"01/04/2024","8,200.0","8,070.0","8,400.0","8,010.0","3.50K","1.74%"
"01/02/2024","8,060.0","8,420.0","8,420.0","8,050.0","0.80K","-4.28%"
"12/29/2023","8,420.0","8,380.0","8,420.0","8,000.0","5.80K","0.48%"
"12/28/2023","8,380.0","8,410.0","8,410.0","8,380.0","1.10K","3.97%"
"12/25/2023","8,060.0","8,300.0","8,380.0","7,800.0","1.00K","0.00%"
"12/22/2023","8,060.0","8,240.0","8,240.0","8,060.0","0.40K","-2.18%"
"12/20/2023","8,240.0","8,240.0","8,240.0","8,240.0","0.30K","2.36%"
"12/18/2023","8,050.0","8,050.0","8,050.0","8,050.0","1.40K","-3.25%"
"12/15/2023","8,320.0","8,320.0","8,320.0","8,320.0","0.10K","0.24%"
"12/14/2023","8,300.0","8,300.0","8,300.0","8,300.0","0.50K","-1.78%"
"12/13/2023","8,450.0","8,050.0","8,450.0","8,050.0","0.20K","5.49%"
"12/12/2023","8,010.0","8,010.0","8,010.0","8,010.0","0.50K","-5.09%"
"12/08/2023","8,440.0","8,440.0","8,440.0","8,440.0","0.30K","0.00%"
"12/07/2023","8,440.0","8,000.0","8,440.0","8,000.0","10.30K","0.96%"
"12/06/2023","8,360.0","8,270.0","8,360.0","8,270.0","1.50K","-0.48%"
"12/05/2023","8,400.0","8,400.0","8,400.0","8,400.0","0.20K","-0.47%"
"12/04/2023","8,440.0","7,750.0","8,480.0","7,750.0","0.70K","1.32%"
"12/01/2023","8,330.0","8,330.0","8,330.0","8,010.0","0.50K","-0.83%"
"11/30/2023","8,400.0","8,400.0","8,400.0","8,400.0","0.20K","4.74%"
"11/29/2023","8,020.0","8,020.0","8,420.0","8,020.0","1.30K","0.12%"
"11/28/2023","8,010.0","8,270.0","8,270.0","8,000.0","1.30K","-4.07%"
"11/27/2023","8,350.0","8,360.0","8,360.0","8,350.0","0.80K","-2.34%"
"11/23/2023","8,550.0","7,640.0","8,550.0","7,640.0","0.30K","4.27%"
"11/22/2023","8,200.0","8,610.0","8,610.0","8,000.0","0.60K","-3.53%"
"11/21/2023","8,500.0","8,500.0","8,500.0","8,500.0","0.10K","-0.35%"
"11/20/2023","8,530.0","8,530.0","8,530.0","8,530.0","0.10K","-2.85%"
"11/15/2023","8,780.0","8,780.0","8,780.0","8,780.0","0.10K","4.52%"
"11/14/2023","8,400.0","8,400.0","8,400.0","8,400.0","0.20K","2.44%"
"11/10/2023","8,200.0","8,200.0","8,200.0","8,200.0","0.20K","-1.09%"
"11/09/2023","8,290.0","8,290.0","8,450.0","8,290.0","0.40K","-0.24%"
"11/08/2023","8,310.0","8,310.0","8,310.0","8,310.0","0.10K","3.23%"
"11/07/2023","8,050.0","8,050.0","8,050.0","8,050.0","1.20K","0.00%"
"11/06/2023","8,050.0","8,050.0","8,050.0","8,050.0","0.30K","0.00%"
"11/03/2023","8,050.0","8,010.0","8,050.0","8,010.0","1.70K","0.50%"
"11/02/2023","8,010.0","8,010.0","8,010.0","8,010.0","0.10K","3.22%"
"11/01/2023","7,760.0","7,760.0","7,760.0","7,410.0","0.70K","3.19%"
"10/31/2023","7,520.0","7,620.0","7,620.0","7,520.0","0.50K","-2.34%"
"10/30/2023","7,700.0","7,740.0","7,750.0","7,700.0","1.10K","0.00%"
"10/27/2023","7,700.0","7,800.0","7,800.0","7,700.0","1.50K","0.00%"
"10/26/2023","7,700.0","8,200.0","8,550.0","7,700.0","2.60K","-4.82%"
"10/25/2023","8,090.0","8,200.0","8,200.0","8,090.0","0.30K","-0.49%"
"10/24/2023","8,130.0","8,100.0","8,130.0","8,100.0","0.40K","0.37%"
