"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","14,850.0","14,900.0","14,900.0","14,710.0","41.10K","-0.34%"
"03/14/2024","14,900.0","15,040.0","15,040.0","14,830.0","8.80K","-0.73%"
"03/13/2024","15,010.0","14,720.0","15,010.0","14,720.0","42.70K","1.97%"
"03/12/2024","14,720.0","14,650.0","14,720.0","14,600.0","7.10K","0.41%"
"03/11/2024","14,660.0","14,800.0","14,800.0","14,650.0","5.80K","-0.95%"
"03/08/2024","14,800.0","15,050.0","15,050.0","14,800.0","17.20K","-2.05%"
"03/07/2024","15,110.0","15,080.0","15,110.0","15,030.0","23.20K","0.07%"
"03/06/2024","15,100.0","14,810.0","15,150.0","14,810.0","1.30K","-0.33%"
"03/05/2024","15,150.0","15,050.0","15,150.0","14,930.0","14.00K","0.60%"
"03/04/2024","15,060.0","15,000.0","15,060.0","14,930.0","7.40K","0.40%"
"03/01/2024","15,000.0","14,990.0","15,000.0","14,890.0","2.20K","0.07%"
"02/29/2024","14,990.0","14,990.0","14,990.0","14,860.0","16.50K","0.00%"
"02/28/2024","14,990.0","14,860.0","14,990.0","14,810.0","7.60K","1.35%"
"02/27/2024","14,790.0","14,300.0","14,790.0","14,300.0","18.50K","0.82%"
"02/26/2024","14,670.0","14,530.0","14,670.0","14,460.0","18.50K","0.14%"
"02/23/2024","14,650.0","14,730.0","14,800.0","14,530.0","31.10K","-0.54%"
"02/22/2024","14,730.0","14,740.0","14,740.0","14,650.0","10.90K","-0.14%"
"02/21/2024","14,750.0","14,760.0","14,760.0","14,480.0","24.70K","-0.07%"
"02/20/2024","14,760.0","14,740.0","14,760.0","14,600.0","15.70K","0.27%"
"02/19/2024","14,720.0","14,540.0","14,720.0","14,540.0","18.90K","1.24%"
"02/16/2024","14,540.0","14,460.0","14,540.0","14,410.0","26.60K","0.55%"
"02/15/2024","14,460.0","14,410.0","14,500.0","14,380.0","37.70K","0.35%"
"02/07/2024","14,410.0","14,320.0","14,410.0","14,260.0","14.70K","1.19%"
"02/06/2024","14,240.0","14,200.0","14,240.0","14,170.0","50.30K","0.28%"
"02/05/2024","14,200.0","13,900.0","14,200.0","13,900.0","8.40K","1.79%"
"02/02/2024","13,950.0","13,900.0","13,950.0","13,880.0","22.40K","0.00%"
"02/01/2024","13,950.0","13,870.0","13,950.0","13,800.0","25.60K","0.58%"
"01/31/2024","13,870.0","13,900.0","13,910.0","13,850.0","4.30K","-1.28%"
"01/30/2024","14,050.0","13,970.0","14,050.0","13,920.0","3.60K","0.29%"
"01/29/2024","14,010.0","14,050.0","14,060.0","14,000.0","11.40K","-0.21%"
"01/26/2024","14,040.0","14,100.0","14,100.0","13,950.0","16.20K","0.29%"
"01/25/2024","14,000.0","14,020.0","14,020.0","13,980.0","0.90K","-0.14%"
"01/24/2024","14,020.0","14,090.0","14,090.0","14,000.0","2.20K","-0.50%"
"01/23/2024","14,090.0","14,000.0","14,090.0","13,950.0","12.20K","-0.28%"
"01/22/2024","14,130.0","14,000.0","14,130.0","14,000.0","6.30K","0.36%"
"01/19/2024","14,080.0","13,940.0","14,080.0","13,940.0","9.80K","1.00%"
"01/18/2024","13,940.0","13,870.0","13,940.0","13,780.0","14.00K","0.50%"
"01/17/2024","13,870.0","13,850.0","13,900.0","13,830.0","8.20K","-0.14%"
"01/16/2024","13,890.0","13,800.0","13,890.0","13,660.0","21.10K","0.65%"
"01/15/2024","13,800.0","13,820.0","13,930.0","13,750.0","23.40K","-0.14%"
"01/12/2024","13,820.0","13,700.0","13,820.0","13,660.0","39.40K","0.00%"
