"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","17,810.0","17,900.0","18,040.0","17,680.0","16.10K","-0.50%"
"03/14/2024","17,900.0","17,890.0","18,100.0","17,890.0","6.00K","0.28%"
"03/13/2024","17,850.0","17,800.0","18,050.0","17,800.0","18.10K","0.28%"
"03/12/2024","17,800.0","17,880.0","17,880.0","17,680.0","20.00K","-0.50%"
"03/11/2024","17,890.0","18,090.0","18,090.0","17,800.0","17.40K","-1.16%"
"03/08/2024","18,100.0","18,190.0","18,190.0","18,000.0","7.70K","0.56%"
"03/07/2024","18,000.0","18,150.0","18,150.0","18,000.0","13.30K","-0.55%"
"03/06/2024","18,100.0","18,200.0","18,290.0","17,900.0","17.90K","-0.55%"
"03/05/2024","18,200.0","17,900.0","18,200.0","17,890.0","44.20K","1.68%"
"03/04/2024","17,900.0","17,970.0","17,980.0","17,900.0","15.20K","-0.39%"
"03/01/2024","17,970.0","18,000.0","18,000.0","17,800.0","12.90K","0.00%"
"02/29/2024","17,970.0","17,990.0","18,050.0","17,950.0","11.60K","0.00%"
"02/28/2024","17,970.0","17,850.0","18,000.0","17,700.0","29.90K","0.67%"
"02/27/2024","17,850.0","17,770.0","17,850.0","17,770.0","9.20K","0.45%"
"02/26/2024","17,770.0","17,650.0","17,790.0","17,600.0","5.90K","0.97%"
"02/23/2024","17,600.0","17,600.0","17,980.0","17,600.0","22.30K","0.00%"
"02/22/2024","17,600.0","17,630.0","17,950.0","17,600.0","15.40K","-0.17%"
"02/21/2024","17,630.0","18,140.0","18,140.0","17,610.0","20.30K","-1.78%"
"02/20/2024","17,950.0","18,270.0","18,270.0","17,900.0","5.10K","0.28%"
"02/19/2024","17,900.0","17,860.0","17,900.0","17,770.0","16.50K","0.79%"
"02/16/2024","17,760.0","17,650.0","17,800.0","17,380.0","16.30K","0.62%"
"02/15/2024","17,650.0","17,490.0","17,690.0","17,490.0","14.30K","0.91%"
