"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","20,490.0","20,470.0","20,580.0","20,210.0","1.38M","0.05%"
"03/14/2024","20,480.0","20,660.0","20,690.0","20,420.0","166.50K","-0.82%"
"03/13/2024","20,650.0","20,260.0","20,750.0","20,190.0","64.30K","2.63%"
"03/12/2024","20,120.0","20,000.0","20,200.0","20,000.0","755.50K","0.00%"
"03/11/2024","20,120.0","20,440.0","20,460.0","20,050.0","885.60K","-1.95%"
"03/08/2024","20,520.0","21,090.0","21,090.0","20,480.0","331.60K","-1.77%"
"03/07/2024","20,890.0","20,840.0","20,910.0","20,770.0","476.90K","0.29%"
"03/06/2024","20,830.0","21,000.0","21,130.0","20,830.0","221.20K","-0.62%"
"03/05/2024","20,960.0","21,000.0","21,000.0","20,750.0","740.00K","0.24%"
"03/04/2024","20,910.0","20,890.0","20,980.0","20,800.0","123.00K","-0.33%"
"03/01/2024","20,980.0","20,900.0","20,980.0","20,770.0","227.90K","0.53%"
"02/29/2024","20,870.0","20,800.0","21,020.0","20,730.0","1.03M","0.58%"
"02/28/2024","20,750.0","20,560.0","20,750.0","20,550.0","897.00K","0.92%"
"02/27/2024","20,560.0","20,590.0","20,590.0","20,340.0","1.19M","1.73%"
"02/26/2024","20,210.0","20,480.0","20,480.0","20,130.0","425.40K","-0.20%"
"02/23/2024","20,250.0","20,590.0","20,770.0","20,250.0","1.21M","-1.03%"
"02/22/2024","20,460.0","20,580.0","20,580.0","20,430.0","162.90K","-0.58%"
"02/21/2024","20,580.0","20,340.0","20,600.0","20,340.0","182.70K","0.83%"
"02/20/2024","20,410.0","20,300.0","20,510.0","20,300.0","39.10K","0.05%"
"02/19/2024","20,400.0","20,490.0","20,490.0","20,250.0","594.50K","-0.15%"
"02/16/2024","20,430.0","20,600.0","20,600.0","20,310.0","304.90K","-0.87%"
"02/15/2024","20,610.0","20,490.0","20,700.0","20,360.0","830.50K","1.28%"
"02/07/2024","20,350.0","19,780.0","20,350.0","19,780.0","183.90K","2.36%"
"02/06/2024","19,880.0","19,930.0","20,070.0","19,880.0","642.80K","-0.25%"
"02/05/2024","19,930.0","19,410.0","19,950.0","19,410.0","132.80K","2.73%"
"02/02/2024","19,400.0","19,650.0","19,650.0","19,400.0","183.70K","-0.31%"
"02/01/2024","19,460.0","19,480.0","19,620.0","19,450.0","187.20K","-0.05%"
"01/31/2024","19,470.0","19,780.0","19,850.0","19,470.0","316.80K","-1.67%"
"01/30/2024","19,800.0","19,790.0","19,800.0","19,720.0","50.40K","0.05%"
"01/29/2024","19,790.0","19,800.0","19,870.0","19,790.0","53.20K","0.05%"
"01/26/2024","19,780.0","19,800.0","19,830.0","19,780.0","28.80K","0.82%"
"01/25/2024","19,620.0","19,870.0","19,870.0","19,620.0","28.50K","-1.26%"
"01/24/2024","19,870.0","19,720.0","19,900.0","19,720.0","167.80K","0.76%"
"01/23/2024","19,720.0","19,890.0","19,890.0","19,720.0","17.20K","0.10%"
"01/22/2024","19,700.0","19,850.0","19,900.0","19,680.0","322.60K","-0.61%"
"01/19/2024","19,820.0","19,500.0","19,820.0","19,500.0","577.00K","1.64%"
"01/18/2024","19,500.0","19,390.0","19,500.0","19,390.0","10.80K","0.62%"
"01/17/2024","19,380.0","19,630.0","19,630.0","19,380.0","8.70K","0.10%"
"01/16/2024","19,360.0","19,220.0","19,400.0","19,220.0","38.20K","-0.21%"
"01/15/2024","19,400.0","19,720.0","19,750.0","19,400.0","31.40K","-1.62%"
"01/12/2024","19,720.0","19,340.0","19,720.0","19,140.0","764.70K","1.96%"
"01/11/2024","19,340.0","19,900.0","19,900.0","19,250.0","84.10K","-3.30%"
"01/10/2024","20,000.0","19,350.0","20,000.0","19,150.0","842.10K","4.38%"
"01/09/2024","19,160.0","19,200.0","19,220.0","19,100.0","104.00K","-0.47%"
"01/08/2024","19,250.0","19,100.0","19,250.0","19,090.0","1.23M","0.89%"
"01/05/2024","19,080.0","19,050.0","19,080.0","18,930.0","345.60K","0.16%"
"01/04/2024","19,050.0","18,540.0","19,200.0","18,500.0","976.70K","2.75%"
"01/03/2024","18,540.0","18,400.0","18,540.0","18,300.0","375.10K","0.76%"
