"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","30,050.0","29,820.0","30,050.0","29,590.0","1.27M","-0.10%"
"03/14/2024","30,080.0","30,220.0","30,400.0","29,850.0","477.60K","-0.46%"
"03/13/2024","30,220.0","29,600.0","30,250.0","29,470.0","984.50K","2.79%"
"03/12/2024","29,400.0","29,100.0","29,450.0","29,050.0","308.30K","0.75%"
"03/11/2024","29,180.0","29,450.0","29,680.0","29,050.0","1.77M","-1.19%"
"03/08/2024","29,530.0","29,900.0","30,150.0","29,400.0","1.57M","-0.84%"
"03/07/2024","29,780.0","29,850.0","30,000.0","29,670.0","6.15M","0.27%"
"03/06/2024","29,700.0","29,600.0","30,140.0","29,600.0","1.59M","-1.00%"
"03/05/2024","30,000.0","29,230.0","30,000.0","29,230.0","10.63M","3.27%"
"03/04/2024","29,050.0","29,000.0","29,890.0","29,000.0","4.39M","0.17%"
"03/01/2024","29,000.0","29,210.0","29,660.0","29,000.0","7.12M","-0.75%"
"02/29/2024","29,220.0","29,300.0","29,370.0","28,930.0","5.01M","0.41%"
"02/28/2024","29,100.0","28,770.0","29,200.0","28,770.0","1.34M","1.15%"
"02/27/2024","28,770.0","28,490.0","28,780.0","28,490.0","2.80M","0.95%"
"02/26/2024","28,500.0","28,010.0","28,500.0","27,990.0","2.31M","1.06%"
"02/23/2024","28,200.0","28,650.0","28,850.0","28,000.0","2.81M","-1.40%"
"02/22/2024","28,600.0","28,690.0","28,690.0","28,490.0","1.56M","-0.31%"
"02/21/2024","28,690.0","28,550.0","28,740.0","28,370.0","1.28M","0.46%"
"02/20/2024","28,560.0","28,020.0","28,560.0","28,020.0","1.17M","0.14%"
"02/19/2024","28,520.0","28,420.0","28,680.0","28,400.0","1.22M","0.39%"
"02/16/2024","28,410.0","28,510.0","28,510.0","28,330.0","1.69M","-0.32%"
"02/15/2024","28,500.0","28,280.0","28,530.0","28,280.0","637.10K","0.74%"
"02/07/2024","28,290.0","27,990.0","28,290.0","27,990.0","549.10K","1.11%"
"02/06/2024","27,980.0","27,930.0","28,090.0","27,900.0","771.60K","0.18%"
"02/05/2024","27,930.0","27,350.0","28,020.0","27,350.0","1.30M","2.08%"
"02/02/2024","27,360.0","27,300.0","27,470.0","27,250.0","446.30K","0.22%"
"02/01/2024","27,300.0","27,000.0","27,330.0","27,000.0","2.39M","0.59%"
"01/31/2024","27,140.0","27,360.0","27,460.0","26,950.0","474.50K","-0.80%"
"01/30/2024","27,360.0","27,390.0","27,390.0","27,260.0","1.04M","0.33%"
"01/29/2024","27,270.0","27,310.0","27,370.0","27,220.0","429.80K","-0.07%"
"01/26/2024","27,290.0","27,080.0","27,320.0","27,080.0","217.60K","0.70%"
"01/25/2024","27,100.0","27,120.0","27,130.0","27,040.0","629.50K","-0.07%"
"01/24/2024","27,120.0","27,160.0","27,350.0","27,100.0","478.20K","-0.84%"
"01/23/2024","27,350.0","27,180.0","27,430.0","27,180.0","725.60K","0.11%"
"01/22/2024","27,320.0","27,500.0","27,500.0","27,180.0","478.40K","0.26%"
"01/19/2024","27,250.0","27,040.0","27,340.0","27,000.0","1.58M","0.81%"
"01/18/2024","27,030.0","26,720.0","27,100.0","26,720.0","1.66M","1.20%"
"01/17/2024","26,710.0","26,800.0","27,030.0","26,710.0","2.54M","-0.34%"
"01/16/2024","26,800.0","26,370.0","26,800.0","26,370.0","225.80K","0.68%"
"01/15/2024","26,620.0","26,700.0","26,800.0","26,620.0","210.20K","-0.22%"
"01/12/2024","26,680.0","26,410.0","26,700.0","26,230.0","376.60K","0.23%"
"01/11/2024","26,620.0","26,790.0","26,790.0","26,500.0","4.64M","0.00%"
"01/10/2024","26,620.0","26,610.0","26,750.0","26,510.0","5.85M","0.04%"
"01/09/2024","26,610.0","26,900.0","26,900.0","26,510.0","3.65M","-0.04%"
"01/08/2024","26,620.0","26,600.0","26,750.0","26,100.0","9.33M","0.08%"
"01/05/2024","26,600.0","26,770.0","26,770.0","26,350.0","11.47M","0.38%"
"01/04/2024","26,500.0","26,110.0","26,750.0","26,110.0","4.42M","1.18%"
"01/03/2024","26,190.0","26,050.0","26,190.0","25,880.0","1.39M","0.61%"
"01/02/2024","26,030.0","26,440.0","26,440.0","25,900.0","558.80K","-1.55%"
"12/29/2023","26,440.0","26,090.0","26,440.0","25,880.0","1.34M","2.16%"
"12/28/2023","25,880.0","25,700.0","26,000.0","25,700.0","2.49M","0.50%"
"12/27/2023","25,750.0","25,750.0","25,870.0","25,700.0","1.65M","0.04%"
"12/26/2023","25,740.0","25,700.0","25,780.0","24,500.0","4.64M","0.00%"
"12/25/2023","25,740.0","25,050.0","25,750.0","25,050.0","3.09M","1.74%"
"12/22/2023","25,300.0","25,170.0","25,330.0","24,500.0","1.84M","0.04%"
"12/21/2023","25,290.0","25,000.0","25,290.0","25,000.0","2.99M","0.36%"
"12/20/2023","25,200.0","25,000.0","25,200.0","24,900.0","4.75M","1.65%"
"12/19/2023","24,790.0","24,910.0","24,960.0","24,720.0","10.00M","-0.68%"
"12/18/2023","24,960.0","25,010.0","25,140.0","24,720.0","7.07M","-1.42%"
"12/15/2023","25,320.0","25,200.0","25,320.0","25,000.0","10.61M","0.12%"
"12/14/2023","25,290.0","25,370.0","25,450.0","25,210.0","1.67M","-0.32%"
"12/13/2023","25,370.0","25,570.0","25,730.0","25,370.0","2.57M","-0.78%"
"12/12/2023","25,570.0","25,410.0","25,570.0","25,360.0","5.03M","0.27%"
"12/11/2023","25,500.0","25,500.0","25,590.0","25,450.0","2.98M","0.12%"
"12/08/2023","25,470.0","25,330.0","25,540.0","25,220.0","3.44M","0.71%"
"12/07/2023","25,290.0","25,360.0","25,480.0","25,000.0","3.82M","-0.28%"
"12/06/2023","25,360.0","25,340.0","25,400.0","25,120.0","3.48M","0.63%"
"12/05/2023","25,200.0","25,240.0","25,360.0","25,140.0","971.70K","-0.36%"
"12/04/2023","25,290.0","24,850.0","25,310.0","24,850.0","4.64M","1.81%"
"12/01/2023","24,840.0","24,830.0","24,850.0","24,600.0","2.07M","0.04%"
"11/30/2023","24,830.0","24,860.0","25,000.0","24,800.0","1.84M","-0.16%"
"11/29/2023","24,870.0","24,690.0","24,930.0","24,690.0","1.56M","0.73%"
"11/28/2023","24,690.0","24,320.0","24,690.0","24,230.0","887.90K","1.19%"
"11/27/2023","24,400.0","24,710.0","24,770.0","24,400.0","1.07M","-1.25%"
"11/24/2023","24,710.0","24,900.0","24,900.0","24,400.0","626.90K","-0.96%"
"11/23/2023","24,950.0","25,300.0","25,550.0","23,530.0","179.30K","-1.38%"
"11/22/2023","25,300.0","25,300.0","25,410.0","25,050.0","1.81M","0.00%"
"11/21/2023","25,300.0","25,390.0","25,390.0","25,130.0","1.11M","-0.20%"
"11/20/2023","25,350.0","25,530.0","25,530.0","24,850.0","7.46M","0.24%"
"11/17/2023","25,290.0","25,550.0","25,800.0","25,190.0","1.34M","-0.86%"
"11/16/2023","25,510.0","25,500.0","25,590.0","25,400.0","875.80K","-0.58%"
"11/15/2023","25,660.0","25,620.0","25,980.0","25,590.0","1.07M","1.62%"
"11/14/2023","25,250.0","25,070.0","25,550.0","25,070.0","2.41M","1.53%"
"11/13/2023","24,870.0","24,940.0","25,100.0","24,800.0","491.60K","-0.24%"
"11/10/2023","24,930.0","25,070.0","25,180.0","24,870.0","513.80K","-1.19%"
"11/09/2023","25,230.0","25,200.0","25,450.0","24,800.0","881.60K","0.28%"
"11/08/2023","25,160.0","24,410.0","25,160.0","24,150.0","623.10K","2.95%"
