"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","17,000.0","16,950.0","17,000.0","16,750.0","121.20K","0.29%"
"03/14/2024","16,950.0","17,050.0","17,090.0","16,870.0","82.40K","-0.82%"
"03/13/2024","17,090.0","16,800.0","17,090.0","16,690.0","129.60K","1.73%"
"03/12/2024","16,800.0","16,830.0","16,830.0","16,580.0","155.70K","-0.18%"
"03/11/2024","16,830.0","16,920.0","16,920.0","16,560.0","173.30K","-0.53%"
"03/08/2024","16,920.0","17,150.0","17,150.0","16,800.0","198.40K","-1.11%"
"03/07/2024","17,110.0","17,120.0","17,150.0","16,950.0","205.70K","0.41%"
"03/06/2024","17,040.0","17,100.0","17,170.0","17,000.0","45.00K","-0.35%"
"03/05/2024","17,100.0","17,000.0","17,100.0","16,930.0","103.30K","0.88%"
"03/04/2024","16,950.0","16,890.0","16,990.0","16,890.0","151.30K","0.36%"
"03/01/2024","16,890.0","16,850.0","16,890.0","16,800.0","142.40K","0.24%"
"02/29/2024","16,850.0","16,800.0","16,930.0","16,770.0","126.30K","0.48%"
"02/28/2024","16,770.0","16,630.0","16,790.0","16,590.0","206.70K","0.96%"
"02/27/2024","16,610.0","16,440.0","16,610.0","16,430.0","160.40K","1.28%"
"02/26/2024","16,400.0","16,250.0","16,400.0","16,250.0","223.10K","0.43%"
"02/23/2024","16,330.0","16,530.0","16,690.0","16,330.0","126.90K","-1.21%"
"02/22/2024","16,530.0","15,910.0","16,610.0","15,910.0","135.70K","-0.30%"
"02/21/2024","16,580.0","16,560.0","16,650.0","16,460.0","87.40K","0.06%"
"02/20/2024","16,570.0","16,550.0","16,600.0","16,500.0","64.60K","0.12%"
"02/19/2024","16,550.0","16,360.0","16,550.0","16,350.0","95.90K","1.16%"
"02/16/2024","16,360.0","16,350.0","16,430.0","16,340.0","89.50K","0.06%"
"02/15/2024","16,350.0","16,200.0","16,400.0","16,200.0","98.30K","0.93%"
"02/07/2024","16,200.0","16,100.0","16,230.0","16,080.0","162.30K","0.93%"
"02/06/2024","16,050.0","16,060.0","16,140.0","16,050.0","49.00K","-0.06%"
"02/05/2024","16,060.0","15,900.0","16,100.0","15,850.0","52.60K","1.32%"
"02/02/2024","15,850.0","15,800.0","15,860.0","15,790.0","88.80K","0.38%"
"02/01/2024","15,790.0","15,900.0","15,900.0","15,700.0","68.40K","-0.69%"
"01/31/2024","15,900.0","15,880.0","15,900.0","15,670.0","82.60K","0.13%"
"01/30/2024","15,880.0","15,890.0","15,890.0","15,800.0","25.80K","-0.06%"
"01/29/2024","15,890.0","15,890.0","15,900.0","15,850.0","34.40K","0.13%"
"01/26/2024","15,870.0","15,800.0","15,900.0","15,800.0","91.20K","0.44%"
"01/25/2024","15,800.0","15,730.0","15,860.0","15,730.0","20.60K","-0.13%"
"01/24/2024","15,820.0","15,860.0","15,920.0","15,810.0","58.60K","-0.25%"
"01/23/2024","15,860.0","15,600.0","15,950.0","15,600.0","53.00K","-0.31%"
"01/22/2024","15,910.0","15,820.0","15,980.0","15,820.0","39.50K","0.57%"
"01/19/2024","15,820.0","15,700.0","15,850.0","15,700.0","60.80K","0.76%"
"01/18/2024","15,700.0","15,630.0","15,730.0","15,630.0","22.70K","0.45%"
"01/17/2024","15,630.0","15,620.0","15,760.0","15,600.0","142.70K","0.19%"
"01/16/2024","15,600.0","15,590.0","15,600.0","15,480.0","54.90K","0.32%"
"01/15/2024","15,550.0","15,700.0","15,730.0","15,550.0","107.60K","-0.38%"
"01/12/2024","15,610.0","15,810.0","15,810.0","15,490.0","67.20K","-1.08%"
"01/11/2024","15,780.0","15,670.0","15,780.0","15,610.0","88.00K","0.70%"
"01/10/2024","15,670.0","15,600.0","15,700.0","15,550.0","70.80K","0.45%"
"01/09/2024","15,600.0","15,610.0","15,660.0","15,550.0","42.40K","-0.32%"
"01/08/2024","15,650.0","15,600.0","16,000.0","15,600.0","71.00K","0.32%"
"01/05/2024","15,600.0","15,560.0","15,680.0","15,550.0","30.80K","0.26%"
"01/04/2024","15,560.0","15,360.0","15,740.0","15,360.0","185.20K","1.37%"
"01/03/2024","15,350.0","15,270.0","15,350.0","15,220.0","76.00K","0.52%"
"01/02/2024","15,270.0","15,400.0","15,420.0","15,200.0","113.00K","-0.39%"
"12/29/2023","15,330.0","15,250.0","15,350.0","15,240.0","83.10K","0.26%"
"12/28/2023","15,290.0","15,140.0","15,290.0","15,090.0","105.70K","0.99%"
"12/27/2023","15,140.0","15,200.0","15,200.0","15,110.0","52.60K","0.26%"
"12/26/2023","15,100.0","15,050.0","15,110.0","15,030.0","27.30K","0.20%"
"12/25/2023","15,070.0","14,900.0","15,070.0","14,900.0","104.00K","1.14%"
"12/22/2023","14,900.0","14,950.0","14,950.0","14,820.0","59.00K","-0.33%"
"12/21/2023","14,950.0","14,960.0","14,960.0","14,750.0","22.80K","0.95%"
"12/20/2023","14,810.0","14,750.0","14,830.0","14,750.0","63.00K","0.41%"
"12/19/2023","14,750.0","14,680.0","14,750.0","14,600.0","105.60K","-0.07%"
"12/18/2023","14,760.0","14,900.0","14,900.0","14,700.0","110.90K","-0.94%"
"12/15/2023","14,900.0","15,000.0","15,320.0","14,840.0","82.60K","-0.67%"
"12/14/2023","15,000.0","15,190.0","15,190.0","14,950.0","107.30K","-0.27%"
"12/13/2023","15,040.0","15,150.0","15,240.0","15,010.0","43.70K","-0.73%"
"12/12/2023","15,150.0","15,120.0","15,220.0","15,080.0","52.00K","0.20%"
"12/11/2023","15,120.0","15,220.0","15,220.0","15,020.0","54.70K","0.07%"
"12/08/2023","15,110.0","15,090.0","15,120.0","15,040.0","61.30K","0.13%"
"12/07/2023","15,090.0","15,200.0","15,200.0","14,910.0","132.80K","0.27%"
