Date,Price,Open,High,Low,Vol.,Change %,Symbol,Nltk_Sentiment,FinBERT_Sentiment,Subjectivity_avg,Polarity_avg,PriceSP500,OpenSP500,HighSP500,LowSP500,Change%SP500
2024-04-26,21550.0,21300.0,21550.0,21070.0,167.50K,2.38%,E1VFVN30,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,30750.0,29500.0,30800.0,29500.0,6.56M,2.50%,ETF,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,7790.0,7790.0,7790.0,7790.0,,-0.76%,FUEIP100,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,14680.0,14640.0,14700.0,14560.0,13.70K,0.27%,FUEMAV30,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,15310.0,15180.0,15500.0,15040.0,32.10K,0.79%,FUESSV30,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,18670.0,18310.0,18700.0,18280.0,14.30K,-0.16%,FUESSV50,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,20050.0,20370.0,20370.0,19850.0,249.90K,0.80%,FUESSVFL,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-26,16520.0,17550.0,17550.0,16360.0,60.00K,0.67%,FUEVN100,0.3352,0.0006,0.4333,0.1375,129748.08236,129358.58064999999,130121.04741999999,129065.75474,1.02%
2024-04-25,21050.0,21300.0,21300.0,20100.0,792.60K,-1.03%,E1VFVN30,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,30000.0,30290.0,30290.0,29780.0,5.26M,1.01%,ETF,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
