Title,Description,Time,Vader_Sentiment,TextBlob_Sentiment,FinBERT_Sentiment
Ministry of Finance wants 50% tax on e-cigarette atomizer,"Forestry exports up 47% in two months
Vietnam's forestry exports totaled US$2.68 billion in the first two months of 2024, up 47.4% year-on-year, according to the Department of Forestry under the Ministry of Agriculture and Rural Development.
The Ministry of Finance has maintained its proposal to impose a 50% Most-Favored Nation (MFN) tariff on electronic atomizer, the device used to heat up liquid solution used for vaping.
",2024-03-12,0.0258,0.125,negative
PM urges New Zealand firms to boost investment in Vietnam,"Prime Minister Pham Minh Chinh urged New Zealand companies to enhance their investment in Vietnam, focusing on innovation, education, and energy sectors.
",2024-03-11,0.5719,0.13636363636363635,negative
"Vietnam goes past Chile to become second biggest fruit, vegetable exporter to China","Vietnam surpassed Chile to become the second largest fruit and vegetable exporter to China in 2023, thanks to a jump in durian exports.
",2024-03-11,0.4404,0.1,neutral
Chỉ còn 200 suất sở hữu vật phẩm giải chạy Việt Nam Hùng Cường,"Quảng cáo

",,0.0,0.0,negative
Vietnamese tech talents find homeland has appealing career prospects,"Vietnamese tech workers studying and working abroad are returning home in increasing numbers since they find the country offers more opportunities for career advancement than competitive developed markets.
",2024-03-11,0.5563,0.2333333333333333,neutral
$1.14B worth of government bonds raised in February,"The Hanoi Stock Exchange (HNX) held 12 auctions of government bonds with a total volume of nearly VND28.2 trillion ($1.1 billion) in February.

",2024-03-10,0.0,0.05,negative
Vietnam's ultra-high-net-worth individuals increase by 2.4%,"The number of ultra-high-net-worth individuals (UHNWIs) in Vietnam with net assets of 30 million or more increased by 2.4% to 752 in 2023, according to Knight Frank’s Wealth Report 2024 published recently.
",2024-03-09,0.7645,0.16666666666666666,negative
PM asks central bank to keep interests low and financial access easier,"Prime Minister Pham Minh Chinh has tasked the State Bank of Vietnam (SBV) to keep interest rates low and financial access easier for businesses, according to a new directive on Wednesday.
",2024-03-08,0.5719,0.04545454545454545,negative
Labor productivity among biggest 'pain points' for investors in Vietnam,"Several issues are making foreign investors reluctant to pump more capital in Vietnam include low labor productivity, poor logistics capacity, and inconsistent policy, according to HSBC Vietnam.
",2024-03-06,-0.7351,-0.0050000000000000044,positive
"Retail sales of goods, services surge by 8.5% in February","The total retail sales of goods and consumer service revenue in February increased by 8.5% year-on-year to VND509.7 trillion (US$20.63 billion), according to the General Statistics Office.
",2024-03-06,0.2732,0.02500000000000001,neutral
PM attends Vietnam - Australia Business Forum in Melbourne,"Prime Minister Pham Minh Chinh attended the Vietnam - Australia Business Forum in Melbourne on March 5 as part of his trip to Australia to attend the ASEAN - Australia Special Summit and pay an official visit to Australia.
",2024-03-05,0.3182,0.35714285714285715,negative
Vietnam encourages Australian airlines to establish routes to its cities,"The Vietnamese Government creates favourable conditions for airlines to develop and compete healthily, and encourages Australian carriers to fly to Vietnam, according to Prime Minister Pham Minh Chinh.
",2024-03-05,0.6124,0.43333333333333335,negative
Taylor Swift concert to contribute $400M to Singapore's economy,"American singer Taylor Swift's concerts are estimated to contribute nearly US$400 million to Singapore's economy.
",2024-03-05,0.0,0.05,negative
